date,time,comp,season,team,opponent,venue,round,xg_for,gf_for,ga_for,sh_for,sot_for,dist_for,fk_for,pk_for,xg_against,gf_against,ga_against,sh_against,sot_against,dist_against,fk_against,pk_against
2024-12-14,15:30,Bundesliga,2024-2025,Bayer Leverkusen,Augsburg,Away,Matchweek 14,0.8,2,0,14,3,22.1,3,0,0.6,0,2,8.0,4.0,16.1,0.0,0.0
2024-12-21,18:30,Bundesliga,2024-2025,Bayer Leverkusen,Freiburg,Home,Matchweek 15,2.8,5,1,19,11,15.6,0,0,0.7,1,5,8.0,2.0,17.7,0.0,0.0
2025-01-10,20:45,Bundesliga,2024-2025,Bayer Leverkusen,Dortmund,Away,Matchweek 16,1.6,3,2,7,5,13.4,0,0,1.3,2,3,11.0,4.0,19.3,0.0,1.0
2025-01-14,20:30,Bundesliga,2024-2025,Bayer Leverkusen,Mainz 05,Home,Matchweek 17,1.8,1,0,20,8,18.2,1,0,0.7,0,1,7.0,4.0,15.0,0.0,0.0
2025-01-18,18:30,Bundesliga,2024-2025,Bayer Leverkusen,Gladbach,Home,Matchweek 18,2.1,3,1,9,4,17.1,0,1,0.6,1,3,7.0,4.0,17.7,0.0,0.0
2025-01-21,21:00,Champions Lg,2024-2025,Bayer Leverkusen,es Atlético Madrid,Away,League phase,0.8,1,2,13,4,19.1,0,0,0.8,2,1,5.0,2.0,20.5,0.0,0.0
2025-01-25,15:30,Bundesliga,2024-2025,Bayer Leverkusen,RB Leipzig,Away,Matchweek 19,2.4,2,2,13,6,15.5,0,0,0.7,2,2,7.0,3.0,14.7,1.0,0.0
2025-01-29,21:00,Champions Lg,2024-2025,Bayer Leverkusen,cz Sparta Prague,Home,League phase,1.7,2,0,26,10,18.6,2,0,0.7,0,2,12.0,1.0,17.7,0.0,0.0
2025-02-02,17:30,Bundesliga,2024-2025,Bayer Leverkusen,Hoffenheim,Home,Matchweek 20,1.4,3,1,9,5,17.0,0,0,1.9,1,3,16.0,7.0,14.7,1.0,0.0
2025-02-05,20:45,DFB-Pokal,2024-2025,Bayer Leverkusen,Köln,Home,Quarter-finals,,3,2,23,7,,,0,,2,3,5.0,4.0,,,0.0
2025-02-08,15:30,Bundesliga,2024-2025,Bayer Leverkusen,Wolfsburg,Away,Matchweek 21,1.4,0,0,15,1,13.7,0,0,0.7,0,0,13.0,8.0,20.4,1.0,0.0
2025-02-15,18:30,Bundesliga,2024-2025,Bayer Leverkusen,Bayern Munich,Home,Matchweek 22,2.0,0,0,15,2,15.8,0,0,0.0,0,0,2.0,0.0,14.7,0.0,0.0
,Time,Comp,2024-2025,Bayer Leverkusen,Opponent,Venue,Round,xG,GF,GA,Sh,SoT,Dist,FK,PK,,,,,,,,
2025-02-22,15:30,Bundesliga,2024-2025,Bayer Leverkusen,Holstein Kiel,Away,Matchweek 23,1.8,2,0,18,7,13.9,1,0,0.3,0,2,4.0,3.0,25.0,0.0,0.0
2025-03-01,18:30,Bundesliga,2024-2025,Bayer Leverkusen,Eint Frankfurt,Away,Matchweek 24,2.0,4,1,20,9,15.1,0,0,1.1,1,4,7.0,3.0,16.1,0.0,0.0
2025-03-05,21:00,Champions Lg,2024-2025,Bayer Leverkusen,de Bayern Munich,Away,Round of 16,0.4,0,3,3,1,13.3,0,0,2.7,3,0,16.0,4.0,18.7,1.0,1.0
2025-03-08,15:30,Bundesliga,2024-2025,Bayer Leverkusen,Werder Bremen,Home,Matchweek 25,1.6,0,2,18,4,16.8,1,0,1.1,2,0,11.0,7.0,16.0,1.0,0.0
2025-03-11,21:00,Champions Lg,2024-2025,Bayer Leverkusen,de Bayern Munich,Home,Round of 16,1.4,0,2,17,3,15.7,1,0,2.3,2,0,12.0,5.0,14.4,0.0,0.0
2025-03-16,19:30,Bundesliga,2024-2025,Bayer Leverkusen,Stuttgart,Away,Matchweek 26,1.7,4,3,16,4,14.2,0,0,2.3,3,4,11.0,6.0,11.9,0.0,0.0
2025-03-28,20:30,Bundesliga,2024-2025,Bayer Leverkusen,Bochum,Home,Matchweek 27,2.0,3,1,14,5,19.0,0,0,0.5,1,3,8.0,3.0,22.5,0.0,0.0
2025-04-01,20:45,DFB-Pokal,2024-2025,Bayer Leverkusen,Arminia,Away,Semi-finals,,1,2,13,4,,,0,,2,1,8.0,3.0,,,0.0
2025-04-05,15:30,Bundesliga,2024-2025,Bayer Leverkusen,Heidenheim,Away,Matchweek 28,0.4,1,0,6,2,21.6,0,0,1.0,0,1,10.0,2.0,13.8,0.0,0.0
2025-04-12,15:30,Bundesliga,2024-2025,Bayer Leverkusen,Union Berlin,Home,Matchweek 29,0.8,0,0,17,4,18.5,1,0,0.5,0,0,7.0,3.0,16.9,0.0,0.0
2025-04-20,19:30,Bundesliga,2024-2025,Bayer Leverkusen,St. Pauli,Away,Matchweek 30,0.8,1,1,6,4,15.5,0,0,1.1,1,1,10.0,5.0,16.8,3.0,0.0
2025-04-26,15:30,Bundesliga,2024-2025,Bayer Leverkusen,Augsburg,Home,Matchweek 31,0.9,2,0,14,5,18.4,0,0,0.7,0,2,11.0,2.0,18.9,0.0,0.0
2025-05-04,17:30,Bundesliga,2024-2025,Bayer Leverkusen,Freiburg,Away,Matchweek 32,0.3,2,2,5,2,19.2,0,0,0.9,2,2,7.0,3.0,15.6,0.0,0.0
2025-05-11,15:30,Bundesliga,2024-2025,Bayer Leverkusen,Dortmund,Home,Matchweek 33,2.2,2,4,19,10,16.8,0,0,1.2,4,2,9.0,5.0,19.5,0.0,0.0
2025-05-17,15:30,Bundesliga,2024-2025,Bayer Leverkusen,Mainz 05,Away,Matchweek 34,1.2,2,2,6,3,16.9,0,1,3.1,2,2,19.0,5.0,15.5,1.0,1.0
2024-08-19,20:45,DFB-Pokal,2024-2025,Eintracht Frankfurt,BTSV,Away,Round of 64,,4,1,14,8,,,0,,1.0,4.0,10.0,1.0,,,0.0
2024-08-24,18:30,Bundesliga,2024-2025,Eintracht Frankfurt,Dortmund,Away,Matchweek 1,1.4,0,2,7,2,17.0,0,0,1.7,2.0,0.0,20.0,5.0,17.2,0.0,0.0
2024-08-31,15:30,Bundesliga,2024-2025,Eintracht Frankfurt,Hoffenheim,Home,Matchweek 2,2.4,3,1,18,7,15.5,0,0,1.0,1.0,3.0,11.0,3.0,21.8,0.0,0.0
2024-09-14,15:30,Bundesliga,2024-2025,Eintracht Frankfurt,Wolfsburg,Away,Matchweek 3,2.5,2,1,13,5,16.4,0,1,1.5,1.0,2.0,18.0,4.0,17.9,0.0,0.0
2024-09-21,18:30,Bundesliga,2024-2025,Eintracht Frankfurt,Gladbach,Home,Matchweek 4,2.7,2,0,18,4,16.2,2,0,1.7,0.0,2.0,25.0,7.0,17.6,1.0,0.0
2024-09-26,21:00,Europa Lg,2024-2025,Eintracht Frankfurt,cz Viktoria Plzeň,Home,League phase,1.4,3,3,19,6,15.8,0,0,1.2,3.0,3.0,13.0,6.0,20.8,0.0,0.0
2024-09-29,15:30,Bundesliga,2024-2025,Eintracht Frankfurt,Holstein Kiel,Away,Matchweek 5,2.1,4,2,20,10,14.6,0,0,1.1,2.0,4.0,9.0,4.0,23.4,1.0,1.0
2024-10-03,22:00 (21:00),Europa Lg,2024-2025,Eintracht Frankfurt,tr Beşiktaş,Away,League phase,2.3,3,1,10,4,15.0,0,1,2.3,1.0,3.0,26.0,10.0,20.5,1.0,0.0
2024-10-06,17:30,Bundesliga,2024-2025,Eintracht Frankfurt,Bayern Munich,Home,Matchweek 6,1.2,3,3,6,4,16.9,0,0,2.2,3.0,3.0,24.0,13.0,17.5,2.0,0.0
2024-10-19,15:30,Bundesliga,2024-2025,Eintracht Frankfurt,Leverkusen,Away,Matchweek 7,1.9,1,2,8,0,18.8,0,1,3.8,2.0,1.0,26.0,8.0,17.4,0.0,0.0
2024-10-24,18:45,Europa Lg,2024-2025,Eintracht Frankfurt,lv FK Rīgas FS,Home,League phase,0.9,1,0,20,4,19.2,0,0,0.5,0.0,1.0,10.0,1.0,17.4,0.0,0.0
2024-10-27,17:30,Bundesliga,2024-2025,Eintracht Frankfurt,Union Berlin,Away,Matchweek 8,1.5,1,1,17,5,17.4,1,0,1.4,1.0,1.0,13.0,4.0,14.8,0.0,0.0
2024-10-30,18:00,DFB-Pokal,2024-2025,Eintracht Frankfurt,Gladbach,Home,Round of 32,,2,1,14,7,,,0,,1.0,2.0,19.0,3.0,,,0.0
2024-11-02,15:30,Bundesliga,2024-2025,Eintracht Frankfurt,Bochum,Home,Matchweek 9,3.5,7,2,18,9,17.0,2,0,1.8,2.0,7.0,11.0,8.0,17.5,0.0,0.0
2024-11-07,18:45,Europa Lg,2024-2025,Eintracht Frankfurt,cz Slavia Prague,Home,League phase,0.9,1,0,10,5,17.7,1,0,1.1,0.0,1.0,20.0,4.0,15.6,0.0,0.0
2024-11-10,17:30,Bundesliga,2024-2025,Eintracht Frankfurt,Stuttgart,Away,Matchweek 10,1.3,3,2,8,5,16.6,1,0,2.5,2.0,3.0,21.0,9.0,16.6,0.0,0.0
2024-11-23,18:30,Bundesliga,2024-2025,Eintracht Frankfurt,Werder Bremen,Home,Matchweek 11,1.1,1,0,15,5,19.6,0,0,0.4,0.0,1.0,8.0,1.0,20.3,0.0,0.0
2024-11-28,21:00,Europa Lg,2024-2025,Eintracht Frankfurt,dk Midtjylland,Away,League phase,2.5,2,1,16,5,17.4,0,1,0.8,1.0,2.0,11.0,3.0,14.4,0.0,0.0
2024-12-01,17:30,Bundesliga,2024-2025,Eintracht Frankfurt,Heidenheim,Away,Matchweek 12,2.6,4,0,14,8,17.2,0,0,0.7,0.0,4.0,8.0,1.0,17.0,0.0,0.0
2024-12-04,20:45,DFB-Pokal,2024-2025,Eintracht Frankfurt,RB Leipzig,Away,Round of 16,,0,3,7,1,,,0,,3.0,0.0,15.0,6.0,,,0.0
2024-12-07,15:30,Bundesliga,2024-2025,Eintracht Frankfurt,Augsburg,Home,Matchweek 13,1.7,2,2,16,4,16.0,0,0,0.6,2.0,2.0,8.0,3.0,16.8,0.0,0.0
2024-12-12,21:00,Europa Lg,2024-2025,Eintracht Frankfurt,fr Lyon,Away,League phase,1.1,2,3,7,5,14.8,0,0,2.1,3.0,2.0,19.0,6.0,15.6,0.0,0.0
2024-12-15,19:30,Bundesliga,2024-2025,Eintracht Frankfurt,RB Leipzig,Away,Matchweek 14,0.9,1,2,16,3,16.9,1,0,1.9,2.0,1.0,19.0,9.0,16.2,1.0,0.0
2024-12-21,15:30,Bundesliga,2024-2025,Eintracht Frankfurt,Mainz 05,Home,Matchweek 15,2.4,1,3,34,8,16.3,0,0,0.6,3.0,1.0,9.0,3.0,18.2,0.0,0.0
2025-01-11,15:30,Bundesliga,2024-2025,Eintracht Frankfurt,St. Pauli,Away,Matchweek 16,1.5,1,0,14,6,14.5,0,0,2.2,0.0,1.0,18.0,4.0,16.8,0.0,0.0
2025-01-14,20:30,Bundesliga,2024-2025,Eintracht Frankfurt,Freiburg,Home,Matchweek 17,2.4,4,1,23,8,16.1,1,0,0.5,1.0,4.0,7.0,5.0,25.0,1.0,0.0
