date,time,season,comp,round,home_team,away_team,gf_home,ga_home,xg_home,gf_away,ga_away,xg_away,result_home,xg_home_roll5,xg_away_roll5,xg_home_roll10,xg_away_roll10,gf_home_roll5,gf_away_roll5,gf_home_roll10,gf_away_roll10,ga_home_roll5,ga_away_roll5,ga_home_roll10,ga_away_roll10,xg_conceded_home_roll5,xg_conceded_away_roll5,xg_conceded_home_roll10,xg_conceded_away_roll10,avg_goals_for_prev_home,avg_goals_against_prev_home,avg_goals_for_prev_away,avg_goals_against_prev_away,avg_goals_for_curr_home,avg_goals_against_curr_home,avg_goals_for_curr_away,avg_goals_against_curr_away,matches_played_home,matches_played_away,avg_goals_for_home,avg_goals_against_home,avg_goals_for_away,avg_goals_against_away,home_advantage
2023-09-17,15:00,2023-2024,Ligue 1,5,Strasbourg,Montpellier,2.0,2.0,2.3,2.0,2.0,1.1,0,1.35,1.42,1.35,1.42,1.0,1.75,1.0,1.75,1.5,1.75,1.5,1.75,1.27,1.0,1.27,1.0,,,,,1.12,1.47,1.26,1.41,4,4,1.12,1.47,1.26,1.41,-0.14
2023-09-22,21:00,2023-2024,Ligue 1,6,Monaco,Nice,0.0,1.0,1.8,1.0,0.0,0.9,-1,1.86,1.66,1.86,1.66,3.0,1.4,3.0,1.4,1.4,0.8,1.4,0.8,0.96,0.7,0.96,0.7,,,,,2.0,1.24,1.18,0.85,5,5,2.0,1.24,1.18,0.85,0.82
2023-09-23,21:00,2023-2024,Ligue 1,6,Brest,Lyon,1.0,0.0,2.4,0.0,1.0,0.4,1,1.6,1.18,1.6,1.18,1.4,0.6,1.4,0.6,1.2,2.0,1.2,2.0,1.36,2.28,1.36,2.28,,,,,1.56,1.0,1.44,1.62,5,5,1.56,1.0,1.44,1.62,0.12
2023-09-23,17:00,2023-2024,Ligue 1,6,Nantes,Lorient,5.0,3.0,2.1,3.0,5.0,1.7,1,0.94,0.82,0.94,0.82,1.2,1.4,1.2,1.4,1.6,1.4,1.6,1.4,2.1,1.54,2.1,1.54,,,,,0.88,1.62,1.26,1.94,5,5,0.88,1.62,1.26,1.94,-0.38
2023-09-24,15:00,2023-2024,Ligue 1,6,Lens,Toulouse,2.0,1.0,2.5,1.0,2.0,0.4,1,0.96,0.78,0.96,0.78,0.8,1.0,0.8,1.0,2.2,1.2,2.2,1.2,1.32,1.98,1.32,1.98,,,,,1.32,1.09,1.24,1.35,5,5,1.32,1.09,1.24,1.35,0.08
2023-09-24,13:00,2023-2024,Ligue 1,6,Metz,Strasbourg,0.0,1.0,1.1,1.0,0.0,0.4,-1,0.68,1.54,0.68,1.54,1.4,1.2,1.4,1.2,1.8,1.6,1.8,1.6,1.86,1.24,1.86,1.24,,,,,1.03,1.71,1.12,1.47,5,5,1.03,1.71,1.12,1.47,-0.09
2023-09-24,20:45,2023-2024,Ligue 1,6,Paris Saint Germain,Marseille,4.0,0.0,1.9,0.0,4.0,0.7,1,2.06,1.98,2.06,1.98,2.0,1.4,2.0,1.4,1.2,0.8,1.2,0.8,1.04,0.88,1.04,0.88,,,,,2.38,0.97,1.53,1.21,5,5,2.38,0.97,1.53,1.21,0.85
2023-09-24,17:05,2023-2024,Ligue 1,6,Montpellier,Rennes,0.0,0.0,1.5,0.0,0.0,0.9,0,1.36,1.88,1.36,1.88,1.8,2.0,1.8,2.0,1.8,1.2,1.8,1.2,1.26,0.84,1.26,0.84,,,,,1.26,1.41,1.56,1.35,5,5,1.26,1.41,1.56,1.35,-0.3
2023-09-24,15:00,2023-2024,Ligue 1,6,Le Havre,Clermont Foot,2.0,1.0,1.3,1.0,2.0,0.9,1,1.08,1.2,1.08,1.2,1.6,0.8,1.6,0.8,1.2,2.0,1.2,2.0,1.62,1.44,1.62,1.44,,,,,1.0,1.32,0.76,1.76,5,5,1.0,1.32,0.76,1.76,0.24
2023-09-26,21:00,2023-2024,Ligue 1,6,Lille,Reims,1.0,2.0,1.2,2.0,1.0,0.5,-1,1.36,1.4,1.36,1.4,1.4,1.8,1.4,1.8,1.4,1.4,1.4,1.4,0.94,0.98,0.94,0.98,,,,,1.53,1.0,1.24,1.38,5,5,1.53,1.0,1.24,1.38,0.29
2023-09-29,21:00,2023-2024,Ligue 1,7,Strasbourg,Lens,0.0,1.0,0.3,1.0,0.0,0.8,-1,1.36,1.32,1.35,1.22,1.0,0.8,1.17,1.0,1.4,1.8,1.33,2.0,1.12,0.9,1.22,1.17,,,,,1.12,1.47,1.32,1.09,6,6,1.12,1.47,1.32,1.09,-0.2
2023-09-30,17:00,2023-2024,Ligue 1,7,Clermont Foot,Paris Saint Germain,0.0,0.0,1.0,0.0,0.0,3.0,0,1.02,2.2,1.15,2.03,0.6,2.8,0.83,2.33,1.6,1.2,2.0,1.0,1.2,1.16,1.42,0.98,,,,,0.76,1.76,2.38,0.97,6,6,0.76,1.76,2.38,0.97,-1.62
2023-09-30,21:00,2023-2024,Ligue 1,7,Monaco,Marseille,3.0,2.0,1.0,2.0,3.0,1.0,1,1.72,1.92,1.85,1.77,2.2,1.0,2.5,1.17,1.2,1.4,1.33,1.33,0.78,1.1,0.95,1.05,,,,,2.0,1.24,1.53,1.21,6,6,2.0,1.24,1.53,1.21,0.47
2023-10-01,17:05,2023-2024,Ligue 1,7,Lorient,Montpellier,0.0,3.0,1.0,3.0,0.0,2.8,-1,1.14,1.34,0.97,1.38,2.0,1.4,1.67,1.5,2.4,1.4,2.0,1.5,1.72,1.24,1.63,1.2,,,,,1.26,1.94,1.26,1.41,6,6,1.26,1.94,1.26,1.41,0.0
2023-10-01,15:00,2023-2024,Ligue 1,7,Nice,Brest,0.0,0.0,1.1,0.0,0.0,0.2,0,1.6,1.58,1.53,1.73,1.4,1.0,1.33,1.33,0.6,0.8,0.67,1.0,0.8,1.3,0.88,1.2,,,,,1.18,0.85,1.56,1.0,6,6,1.18,0.85,1.56,1.0,-0.38
2023-10-01,15:00,2023-2024,Ligue 1,7,Toulouse,Metz,3.0,0.0,1.3,0.0,3.0,0.7,1,0.64,0.82,0.72,0.75,0.8,1.2,1.0,1.17,1.4,1.0,1.33,1.67,2.26,1.14,2.07,1.62,,,,,1.24,1.35,1.03,1.71,6,6,1.24,1.35,1.03,1.71,0.21
2023-10-01,15:00,2023-2024,Ligue 1,7,Le Havre,Lille,0.0,2.0,0.8,2.0,0.0,1.2,-1,1.14,1.34,1.12,1.33,1.6,1.4,1.67,1.33,1.0,1.6,1.17,1.5,1.48,0.8,1.5,0.87,,,,,1.0,1.32,1.53,1.0,6,6,1.0,1.32,1.53,1.0,-0.53
2023-10-01,20:45,2023-2024,Ligue 1,7,Rennes,Nantes,3.0,1.0,2.7,1.0,3.0,1.0,1,1.26,1.14,1.72,1.13,1.0,2.0,1.67,1.83,1.0,1.8,1.0,1.83,1.06,2.22,0.95,2.03,,,,,1.56,1.35,0.88,1.62,6,6,1.56,1.35,0.88,1.62,0.68
2023-10-01,13:00,2023-2024,Ligue 1,7,Reims,Lyon,2.0,0.0,2.0,0.0,2.0,0.7,1,1.34,0.92,1.25,1.05,2.0,0.4,1.83,0.5,1.2,1.8,1.33,1.83,1.02,2.5,1.02,2.3,,,,,1.24,1.38,1.44,1.62,6,6,1.24,1.38,1.44,1.62,-0.2
2023-10-06,21:00,2023-2024,Ligue 1,8,Strasbourg,Nantes,1.0,2.0,0.7,2.0,1.0,1.9,-1,1.32,1.12,1.2,1.11,1.0,2.2,1.0,1.71,1.0,2.0,1.29,2.0,1.1,2.32,1.16,2.13,,,,,1.12,1.47,0.88,1.62,7,7,1.12,1.47,0.88,1.62,0.24
2023-10-07,17:00,2023-2024,Ligue 1,8,Metz,Nice,0.0,1.0,0.4,1.0,0.0,1.4,-1,0.86,1.48,0.74,1.47,0.8,1.2,1.0,1.14,1.2,0.4,1.86,0.57,1.02,0.68,1.57,0.79,,,,,1.03,1.71,1.18,0.85,7,7,1.03,1.71,1.18,0.85,-0.15
2023-10-07,21:00,2023-2024,Ligue 1,8,Reims,Monaco,1.0,3.0,1.5,3.0,1.0,1.2,-1,1.26,1.74,1.36,1.73,2.0,2.2,1.86,2.57,1.2,1.6,1.14,1.43,1.08,0.88,0.97,0.96,,,,,1.24,1.38,2.0,1.24,7,7,1.24,1.38,2.0,1.24,-0.76
2023-10-08,15:00,2023-2024,Ligue 1,8,Brest,Toulouse,1.0,1.0,1.5,1.0,1.0,1.2,0,1.4,0.66,1.51,0.8,0.6,1.2,1.14,1.29,0.6,1.2,0.86,1.14,1.28,1.98,1.19,1.87,,,,,1.56,1.0,1.24,1.35,7,7,1.56,1.0,1.24,1.35,0.32
2023-10-08,17:05,2023-2024,Ligue 1,8,Lens,Lille,1.0,1.0,2.0,1.0,1.0,1.7,0,1.28,1.14,1.16,1.31,0.8,1.4,1.0,1.43,1.6,1.6,1.71,1.29,0.68,0.74,1.04,0.86,,,,,1.32,1.09,1.53,1.0,7,7,1.32,1.09,1.53,1.0,-0.21
2023-10-08,13:00,2023-2024,Ligue 1,8,Marseille,Le Havre,3.0,0.0,2.8,0.0,3.0,0.2,1,1.74,1.06,1.66,1.07,1.0,1.4,1.29,1.43,1.6,1.0,1.57,1.29,1.2,1.5,1.04,1.46,,,,,1.53,1.21,1.0,1.32,7,7,1.53,1.21,1.0,1.32,0.53
2023-10-08,20:45,2023-2024,Ligue 1,8,Rennes,Paris Saint Germain,1.0,3.0,1.1,3.0,1.0,3.5,-1,1.52,2.38,1.86,2.17,1.4,2.6,1.86,2.0,1.0,1.0,1.0,0.86,1.06,1.12,0.96,0.99,,,,,1.56,1.35,2.38,0.97,7,7,1.56,1.35,2.38,0.97,-0.82
2023-10-08,15:00,2023-2024,Ligue 1,8,Lyon,Lorient,3.0,3.0,1.4,3.0,3.0,1.1,0,0.98,1.18,1.0,0.97,0.2,1.8,0.43,1.43,1.4,2.8,1.86,2.14,2.32,1.94,2.26,1.8,,,,,1.44,1.62,1.26,1.94,7,7,1.44,1.62,1.26,1.94,0.18
2023-10-20,21:00,2023-2024,Ligue 1,9,Le Havre,Lens,0.0,0.0,1.6,0.0,0.0,1.6,0,1.02,1.58,0.96,1.26,1.0,0.8,1.25,1.0,1.2,1.2,1.5,1.62,1.42,0.72,1.62,1.12,,,,,1.0,1.32,1.32,1.09,8,8,1.0,1.32,1.32,1.09,-0.32
2023-10-21,17:00,2023-2024,Ligue 1,9,Paris Saint Germain,Strasbourg,3.0,0.0,2.0,0.0,3.0,0.4,1,2.78,0.78,2.34,1.14,2.6,0.8,2.12,1.0,1.0,1.4,0.88,1.38,1.24,1.42,1.0,1.25,,,,,2.38,0.97,1.12,1.47,8,8,2.38,0.97,1.12,1.47,1.26
2023-10-21,21:00,2023-2024,Ligue 1,9,Nice,Marseille,1.0,0.0,0.6,0.0,1.0,1.1,1,1.38,1.72,1.46,1.8,1.4,1.2,1.12,1.5,0.4,1.6,0.5,1.38,0.72,0.94,0.74,0.94,,,,,1.18,0.85,1.53,1.21,8,8,1.18,0.85,1.53,1.21,-0.35
2023-10-22,20:45,2023-2024,Ligue 1,9,Lyon,Clermont Foot,1.0,2.0,1.7,2.0,1.0,1.0,-1,1.22,1.14,1.05,1.13,0.8,0.6,0.75,0.71,2.0,1.2,2.0,1.71,2.16,1.32,2.11,1.64,,,,,1.44,1.62,0.76,1.76,8,7,1.44,1.62,0.76,1.76,0.68
