date,time,season,comp,round,home_team,away_team,gf_home,ga_home,xg_home,gf_away,ga_away,xg_away,result_home,xg_home_roll5,xg_away_roll5,xg_home_roll10,xg_away_roll10,gf_home_roll5,gf_away_roll5,gf_home_roll10,gf_away_roll10,ga_home_roll5,ga_away_roll5,ga_home_roll10,ga_away_roll10,xg_conceded_home_roll5,xg_conceded_away_roll5,xg_conceded_home_roll10,xg_conceded_away_roll10,avg_goals_for_prev_home,avg_goals_against_prev_home,avg_goals_for_prev_away,avg_goals_against_prev_away,avg_goals_for_curr_home,avg_goals_against_curr_home,avg_goals_for_curr_away,avg_goals_against_curr_away,matches_played_home,matches_played_away,avg_goals_for_home,avg_goals_against_home,avg_goals_for_away,avg_goals_against_away,home_advantage
2023-09-23,15:30,2023-2024,Bundesliga,5,Union Berlin,Hoffenheim,0.0,2.0,1.6,2.0,0.0,2.0,-1,1.25,1.85,1.25,1.85,2.25,2.5,2.25,2.5,1.75,1.5,1.75,1.5,1.55,1.8,1.55,1.8,,,,,0.97,1.71,1.94,1.94,4,4,0.97,1.71,1.94,1.94,-0.97
2023-09-23,15:30,2023-2024,Bundesliga,5,Dortmund,Wolfsburg,1.0,0.0,1.7,0.0,1.0,0.5,1,2.2,1.38,2.2,1.38,2.0,1.75,2.0,1.75,1.25,1.25,1.25,1.25,1.32,1.3,1.32,1.3,,,,,2.0,1.26,1.21,1.65,4,4,2.0,1.26,1.21,1.65,0.79
2023-09-23,18:30,2023-2024,Bundesliga,5,Werder Bremen,Köln,2.0,1.0,2.1,1.0,2.0,1.3,1,1.83,1.0,1.83,1.0,1.5,0.75,1.5,0.75,2.25,1.75,2.25,1.75,1.98,1.4,1.98,1.4,,,,,1.41,1.59,0.82,1.76,4,4,1.41,1.59,0.82,1.76,0.59
2023-09-23,15:30,2023-2024,Bundesliga,5,Augsburg,Mainz 05,2.0,1.0,0.8,1.0,2.0,0.6,1,1.65,1.22,1.65,1.22,1.75,0.75,1.75,0.75,3.0,3.0,3.0,3.0,1.8,1.83,1.8,1.83,,,,,1.47,1.76,1.15,1.5,4,4,1.47,1.76,1.15,1.5,0.32
2023-09-23,15:30,2023-2024,Bundesliga,5,Bayern Munich,Bochum,7.0,0.0,4.8,0.0,7.0,0.1,1,2.52,1.35,2.52,1.35,2.75,1.0,2.75,1.0,1.0,2.25,1.0,2.25,0.92,1.7,0.92,1.7,,,,,2.76,1.32,1.24,2.18,4,4,2.76,1.32,1.24,2.18,1.52
2023-09-24,15:30,2023-2024,Bundesliga,5,Bayer Leverkusen,Heidenheim,4.0,1.0,3.4,1.0,4.0,0.5,1,2.25,1.98,2.25,1.98,3.25,2.0,3.25,2.0,1.25,2.25,1.25,2.25,1.25,2.9,1.25,2.9,,,,,2.62,0.71,1.47,1.62,4,4,2.62,0.71,1.47,1.62,1.15
2023-09-24,17:30,2023-2024,Bundesliga,5,Eintracht Frankfurt,Freiburg,0.0,0.0,0.6,0.0,0.0,0.5,-1,1.08,1.75,1.08,1.75,1.0,1.25,1.0,1.25,0.75,2.5,0.75,2.5,1.15,1.6,1.15,1.6,,,,,1.5,1.47,1.32,1.71,4,4,1.5,1.47,1.32,1.71,0.18
2023-09-29,20:30,2023-2024,Bundesliga,6,Hoffenheim,Dortmund,1.0,3.0,1.9,3.0,1.0,1.6,-1,1.88,2.1,1.88,2.1,2.4,1.8,2.4,1.8,1.2,1.0,1.2,1.0,1.76,1.16,1.76,1.16,,,,,1.94,1.94,2.0,1.26,5,5,1.94,1.94,2.0,1.26,-0.06
2023-09-30,15:30,2023-2024,Bundesliga,6,Mainz 05,Bayer Leverkusen,0.0,3.0,0.5,3.0,0.0,1.1,-1,1.1,2.48,1.1,2.48,0.8,3.4,0.8,3.4,2.8,1.2,2.8,1.2,1.62,1.1,1.62,1.1,,,,,1.15,1.5,2.62,0.71,5,5,1.15,1.5,2.62,0.71,-1.47
2023-09-30,18:30,2023-2024,Bundesliga,6,RB Leipzig,Bayern Munich,2.0,2.0,0.7,2.0,2.0,2.3,-1,1.28,2.98,1.28,2.98,2.8,3.6,2.8,3.6,0.8,0.8,0.8,0.8,1.06,0.76,1.06,0.76,,,,,2.26,1.15,2.76,1.32,5,5,2.26,1.15,2.76,1.32,-0.5
